problem,solver,phi_a,phi_b,status,metric,n_evals,seed,cardinality_a,cardinality_b,delta,containment_violations,value
p0,random_search,lu,cw,finding,overlap,5000,14,5000,1,0.0,,0.0003999200159968006
p0,random_search,ls,cw,check,coverage_a_in_b,5000,14,5000,1,0.0,,0.0002
p0,random_search,ls,cw,check,coverage_b_in_a,5000,14,5000,1,0.0,,1.0
p0,random_search,ls,cw,check,overlap,5000,14,5000,1,0.0,,0.0003999200159968006
p0,random_search,lu,ls,check,coverage_a_in_b,5000,15,5000,5000,0.0,,1.0
p0,random_search,lu,ls,check,coverage_b_in_a,5000,15,5000,5000,0.0,,1.0
p0,random_search,lu,ls,check,overlap,5000,15,5000,5000,0.0,,1.0
p0,random_search,lu,cw,finding,coverage_a_in_b,5000,15,5000,1,0.0,,0.0002
p0,random_search,lu,cw,finding,coverage_b_in_a,5000,15,5000,1,0.0,,1.0
p0,random_search,lu,cw,finding,overlap,5000,15,5000,1,0.0,,0.0003999200159968006
p0,random_search,ls,cw,check,coverage_a_in_b,5000,15,5000,1,0.0,,0.0002
p0,random_search,ls,cw,check,coverage_b_in_a,5000,15,5000,1,0.0,,1.0
p0,random_search,ls,cw,check,overlap,5000,15,5000,1,0.0,,0.0003999200159968006
p0,random_search_noise_floor,lu,lu,check,coverage_a_in_b,5000,11,5000,5000,0.1,,1.0
p0,random_search_noise_floor,lu,lu,check,coverage_b_in_a,5000,11,5000,5000,0.1,,1.0
p0,random_search_noise_floor,lu,lu,check,overlap,5000,11,5000,5000,0.1,,1.0
p0,random_search_noise_floor,lu,lu,check,coverage_a_in_b,5000,12,5000,5000,0.1,,1.0
p0,random_search_noise_floor,lu,lu,check,coverage_b_in_a,5000,12,5000,5000,0.1,,1.0
p0,random_search_noise_floor,lu,lu,check,overlap,5000,12,5000,5000,0.1,,1.0
p0,random_search_noise_floor,lu,lu,check,coverage_a_in_b,5000,13,5000,5000,0.1,,1.0
p0,random_search_noise_floor,lu,lu,check,coverage_b_in_a,5000,13,5000,5000,0.1,,1.0
p0,random_search_noise_floor,lu,lu,check,overlap,5000,13,5000,5000,0.1,,1.0
p0,random_search_noise_floor,lu,lu,check,coverage_a_in_b,5000,14,5000,5000,0.1,,1.0
p0,random_search_noise_floor,lu,lu,check,coverage_b_in_a,5000,14,5000,5000,0.1,,1.0
p0,random_search_noise_floor,lu,lu,check,overlap,5000,14,5000,5000,0.1,,1.0
p0,random_search_noise_floor,lu,lu,check,coverage_a_in_b,5000,15,5000,5000,0.1,,1.0
p0,random_search_noise_floor,lu,lu,check,coverage_b_in_a,5000,15,5000,5000,0.1,,1.0
p0,random_search_noise_floor,lu,lu,check,overlap,5000,15,5000,5000,0.1,,1.0
p0,random_search_noise_floor,ls,ls,check,coverage_a_in_b,5000,11,5000,5000,0.1,,1.0
p0,random_search_noise_floor,ls,ls,check,coverage_b_in_a,5000,11,5000,5000,0.1,,1.0
p0,random_search_noise_floor,ls,ls,check,overlap,5000,11,5000,5000,0.1,,1.0
