measurement,problem,phi,column,free_set_size,constant_column,n_evals,seed,defined,value,tail_share,chance_rate,protected_index
m-1_tail_survival_lift,p0,ls,3,0,False,20000,11,True,1.0,1.0,1.0,17976
m-2_overhang,p0,ls,3,0,False,20000,11,True,0.0,1.0,1.0,17976
m-1_tail_survival_lift,p0,ls,0,0,False,20000,12,True,1.0,1.0,1.0,9865
m-2_overhang,p0,ls,0,0,False,20000,12,True,0.0,1.0,1.0,9865
m-1_tail_survival_lift,p0,ls,1,0,False,20000,12,True,1.0,1.0,1.0,13239
m-2_overhang,p0,ls,1,0,False,20000,12,True,0.0,1.0,1.0,13239
m-1_tail_survival_lift,p0,ls,2,1,True,20000,12,False,,,,
m-2_overhang,p0,ls,2,1,True,20000,12,False,,,,
m-1_tail_survival_lift,p0,ls,3,0,False,20000,12,True,1.0,1.0,1.0,13239
m-2_overhang,p0,ls,3,0,False,20000,12,True,0.0,1.0,1.0,13239
m-1_tail_survival_lift,p0,ls,0,0,False,20000,13,True,1.0,1.0,1.0,4081
m-2_overhang,p0,ls,0,0,False,20000,13,True,0.0,1.0,1.0,4081
m-1_tail_survival_lift,p0,ls,1,0,False,20000,13,True,1.0,1.0,1.0,11083
m-2_overhang,p0,ls,1,0,False,20000,13,True,0.0,1.0,1.0,11083
m-1_tail_survival_lift,p0,ls,2,1,True,20000,13,False,,,,
m-2_overhang,p0,ls,2,1,True,20000,13,False,,,,
m-1_tail_survival_lift,p0,ls,3,0,False,20000,13,True,1.0,1.0,1.0,11083
m-2_overhang,p0,ls,3,0,False,20000,13,True,0.0,1.0,1.0,11083
m-1_tail_survival_lift,p0,ls,0,0,False,20000,14,True,1.0,1.0,1.0,2977
m-2_overhang,p0,ls,0,0,False,20000,14,True,0.0,1.0,1.0,2977
m-1_tail_survival_lift,p0,ls,1,0,False,20000,14,True,1.0,1.0,1.0,16930
m-2_overhang,p0,ls,1,0,False,20000,14,True,0.0,1.0,1.0,16930
m-1_tail_survival_lift,p0,ls,2,1,True,20000,14,False,,,,
m-2_overhang,p0,ls,2,1,True,20000,14,False,,,,
m-1_tail_survival_lift,p0,ls,3,0,False,20000,14,True,1.0,1.0,1.0,16930
m-2_overhang,p0,ls,3,0,False,20000,14,True,0.0,1.0,1.0,16930
m-1_tail_survival_lift,p0,ls,0,0,False,20000,15,True,1.0,1.0,1.0,3418
m-2_overhang,p0,ls,0,0,False,20000,15,True,0.0,1.0,1.0,3418
m-1_tail_survival_lift,p0,ls,1,0,False,20000,15,True,1.0,1.0,1.0,16256
m-2_overhang,p0,ls,1,0,False,20000,15,True,0.0,1.0,1.0,16256
m-1_tail_survival_lift,p0,ls,2,1,True,20000,15,False,,,,
m-2_overhang,p0,ls,2,1,True,20000,15,False,,,,
m-1_tail_survival_lift,p0,ls,3,0,False,20000,15,True,1.0,1.0,1.0,16256
m-2_overhang,p0,ls,3,0,False,20000,15,True,0.0,1.0,1.0,16256
m-1_tail_survival_lift,p0,cw,0,1,True,20000,11,False,,,,
m-2_overhang,p0,cw,0,1,True,20000,11,False,,,,
m-1_tail_survival_lift,p0,cw,1,0,False,20000,11,True,666.6666666666666,0.03333333333333333,5e-05,17976
m-2_overhang,p0,cw,1,0,False,20000,11,True,0.0,0.03333333333333333,5e-05,17976
m-1_tail_survival_lift,p0,cw,2,0,False,20000,11,True,666.6666666666666,0.03333333333333333,5e-05,17976
m-2_overhang,p0,cw,2,0,False,20000,11,True,0.0,0.03333333333333333,5e-05,17976
m-1_tail_survival_lift,p0,cw,3,0,False,20000,11,True,666.6666666666666,0.03333333333333333,5e-05,17976
m-2_overhang,p0,cw,3,0,False,20000,11,True,0.0,0.03333333333333333,5e-05,17976
m-1_tail_survival_lift,p0,cw,0,1,True,20000,12,False,,,,
m-2_overhang,p0,cw,0,1,True,20000,12,False,,,,
m-1_tail_survival_lift,p0,cw,1,0,False,20000,12,True,666.6666666666666,0.03333333333333333,5e-05,13239
m-2_overhang,p0,cw,1,0,False,20000,12,True,0.0,0.03333333333333333,5e-05,13239
m-1_tail_survival_lift,p0,cw,2,0,False,20000,12,True,666.6666666666666,0.03333333333333333,5e-05,13239
m-2_overhang,p0,cw,2,0,False,20000,12,True,0.0,0.03333333333333333,5e-05,13239
m-1_tail_survival_lift,p0,cw,3,0,False,20000,12,True,666.6666666666666,0.03333333333333333,5e-05,13239
m-2_overhang,p0,cw,3,0,False,20000,12,True,0.0,0.03333333333333333,5e-05,13239
m-1_tail_survival_lift,p0,cw,0,1,True,20000,13,False,,,,
m-2_overhang,p0,cw,0,1,True,20000,13,False,,,,
