problem,phi_a,phi_b,status,metric,eps,n_evals,seed,delta_box_fraction,delta,box_scale,cardinality_a,cardinality_b,value
zdt1_interval,lu,ls,check,coverage_a_in_b,0.0,5000,14,0.02,0.10954451150103323,5.477225575051661,22,22,1.0
zdt1_interval,lu,ls,check,coverage_b_in_a,0.0,5000,14,0.02,0.10954451150103323,5.477225575051661,22,22,1.0
zdt1_interval,lu,ls,check,overlap,0.0,5000,14,0.02,0.10954451150103323,5.477225575051661,22,22,1.0
zdt1_interval,lu,ls,check,overlap_jaccard,0.0,5000,14,0.02,0.10954451150103323,5.477225575051661,22,22,1.0
zdt1_interval,lu,ls,check,coverage_a_in_b,0.0,5000,14,0.05,0.2738612787525831,5.477225575051661,22,22,1.0
zdt1_interval,lu,ls,check,coverage_b_in_a,0.0,5000,14,0.05,0.2738612787525831,5.477225575051661,22,22,1.0
zdt1_interval,lu,ls,check,overlap,0.0,5000,14,0.05,0.2738612787525831,5.477225575051661,22,22,1.0
zdt1_interval,lu,ls,check,overlap_jaccard,0.0,5000,14,0.05,0.2738612787525831,5.477225575051661,22,22,1.0
zdt1_interval,lu,ls,check,coverage_a_in_b,0.0,5000,14,0.1,0.5477225575051662,5.477225575051661,22,22,1.0
zdt1_interval,lu,ls,check,coverage_b_in_a,0.0,5000,14,0.1,0.5477225575051662,5.477225575051661,22,22,1.0
zdt1_interval,lu,ls,check,overlap,0.0,5000,14,0.1,0.5477225575051662,5.477225575051661,22,22,1.0
zdt1_interval,lu,ls,check,overlap_jaccard,0.0,5000,14,0.1,0.5477225575051662,5.477225575051661,22,22,1.0
zdt1_interval,lu,ls,check,coverage_a_in_b,0.0,5000,14,0.2,1.0954451150103324,5.477225575051661,22,22,1.0
zdt1_interval,lu,ls,check,coverage_b_in_a,0.0,5000,14,0.2,1.0954451150103324,5.477225575051661,22,22,1.0
zdt1_interval,lu,ls,check,overlap,0.0,5000,14,0.2,1.0954451150103324,5.477225575051661,22,22,1.0
zdt1_interval,lu,ls,check,overlap_jaccard,0.0,5000,14,0.2,1.0954451150103324,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.0,5000,14,0.0,0.0,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.0,5000,14,0.0,0.0,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,overlap,0.0,5000,14,0.0,0.0,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,overlap_jaccard,0.0,5000,14,0.0,0.0,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.0,5000,14,0.01,0.05477225575051661,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.0,5000,14,0.01,0.05477225575051661,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,overlap,0.0,5000,14,0.01,0.05477225575051661,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,overlap_jaccard,0.0,5000,14,0.01,0.05477225575051661,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.0,5000,14,0.02,0.10954451150103323,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.0,5000,14,0.02,0.10954451150103323,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,overlap,0.0,5000,14,0.02,0.10954451150103323,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,overlap_jaccard,0.0,5000,14,0.02,0.10954451150103323,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.0,5000,14,0.05,0.2738612787525831,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.0,5000,14,0.05,0.2738612787525831,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,overlap,0.0,5000,14,0.05,0.2738612787525831,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,overlap_jaccard,0.0,5000,14,0.05,0.2738612787525831,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.0,5000,14,0.1,0.5477225575051662,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.0,5000,14,0.1,0.5477225575051662,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,overlap,0.0,5000,14,0.1,0.5477225575051662,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,overlap_jaccard,0.0,5000,14,0.1,0.5477225575051662,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.0,5000,14,0.2,1.0954451150103324,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.0,5000,14,0.2,1.0954451150103324,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,overlap,0.0,5000,14,0.2,1.0954451150103324,5.477225575051661,22,22,1.0
zdt1_interval,lu,cw,finding,overlap_jaccard,0.0,5000,14,0.2,1.0954451150103324,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,coverage_a_in_b,0.0,5000,14,0.0,0.0,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,coverage_b_in_a,0.0,5000,14,0.0,0.0,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,overlap,0.0,5000,14,0.0,0.0,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,overlap_jaccard,0.0,5000,14,0.0,0.0,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,coverage_a_in_b,0.0,5000,14,0.01,0.05477225575051661,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,coverage_b_in_a,0.0,5000,14,0.01,0.05477225575051661,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,overlap,0.0,5000,14,0.01,0.05477225575051661,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,overlap_jaccard,0.0,5000,14,0.01,0.05477225575051661,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,coverage_a_in_b,0.0,5000,14,0.02,0.10954451150103323,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,coverage_b_in_a,0.0,5000,14,0.02,0.10954451150103323,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,overlap,0.0,5000,14,0.02,0.10954451150103323,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,overlap_jaccard,0.0,5000,14,0.02,0.10954451150103323,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,coverage_a_in_b,0.0,5000,14,0.05,0.2738612787525831,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,coverage_b_in_a,0.0,5000,14,0.05,0.2738612787525831,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,overlap,0.0,5000,14,0.05,0.2738612787525831,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,overlap_jaccard,0.0,5000,14,0.05,0.2738612787525831,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,coverage_a_in_b,0.0,5000,14,0.1,0.5477225575051662,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,coverage_b_in_a,0.0,5000,14,0.1,0.5477225575051662,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,overlap,0.0,5000,14,0.1,0.5477225575051662,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,overlap_jaccard,0.0,5000,14,0.1,0.5477225575051662,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,coverage_a_in_b,0.0,5000,14,0.2,1.0954451150103324,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,coverage_b_in_a,0.0,5000,14,0.2,1.0954451150103324,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,overlap,0.0,5000,14,0.2,1.0954451150103324,5.477225575051661,22,22,1.0
zdt1_interval,ls,cw,check,overlap_jaccard,0.0,5000,14,0.2,1.0954451150103324,5.477225575051661,22,22,1.0
zdt1_interval,lu,ls,check,coverage_a_in_b,0.0,5000,15,0.0,0.0,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,coverage_b_in_a,0.0,5000,15,0.0,0.0,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,overlap,0.0,5000,15,0.0,0.0,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,overlap_jaccard,0.0,5000,15,0.0,0.0,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,coverage_a_in_b,0.0,5000,15,0.01,0.05477225575051661,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,coverage_b_in_a,0.0,5000,15,0.01,0.05477225575051661,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,overlap,0.0,5000,15,0.01,0.05477225575051661,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,overlap_jaccard,0.0,5000,15,0.01,0.05477225575051661,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,coverage_a_in_b,0.0,5000,15,0.02,0.10954451150103323,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,coverage_b_in_a,0.0,5000,15,0.02,0.10954451150103323,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,overlap,0.0,5000,15,0.02,0.10954451150103323,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,overlap_jaccard,0.0,5000,15,0.02,0.10954451150103323,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,coverage_a_in_b,0.0,5000,15,0.05,0.2738612787525831,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,coverage_b_in_a,0.0,5000,15,0.05,0.2738612787525831,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,overlap,0.0,5000,15,0.05,0.2738612787525831,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,overlap_jaccard,0.0,5000,15,0.05,0.2738612787525831,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,coverage_a_in_b,0.0,5000,15,0.1,0.5477225575051662,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,coverage_b_in_a,0.0,5000,15,0.1,0.5477225575051662,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,overlap,0.0,5000,15,0.1,0.5477225575051662,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,overlap_jaccard,0.0,5000,15,0.1,0.5477225575051662,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,coverage_a_in_b,0.0,5000,15,0.2,1.0954451150103324,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,coverage_b_in_a,0.0,5000,15,0.2,1.0954451150103324,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,overlap,0.0,5000,15,0.2,1.0954451150103324,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,overlap_jaccard,0.0,5000,15,0.2,1.0954451150103324,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.0,5000,15,0.0,0.0,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.0,5000,15,0.0,0.0,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,overlap,0.0,5000,15,0.0,0.0,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,overlap_jaccard,0.0,5000,15,0.0,0.0,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.0,5000,15,0.01,0.05477225575051661,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.0,5000,15,0.01,0.05477225575051661,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,overlap,0.0,5000,15,0.01,0.05477225575051661,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,overlap_jaccard,0.0,5000,15,0.01,0.05477225575051661,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.0,5000,15,0.02,0.10954451150103323,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.0,5000,15,0.02,0.10954451150103323,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,overlap,0.0,5000,15,0.02,0.10954451150103323,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,overlap_jaccard,0.0,5000,15,0.02,0.10954451150103323,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.0,5000,15,0.05,0.2738612787525831,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.0,5000,15,0.05,0.2738612787525831,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,overlap,0.0,5000,15,0.05,0.2738612787525831,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,overlap_jaccard,0.0,5000,15,0.05,0.2738612787525831,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.0,5000,15,0.1,0.5477225575051662,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.0,5000,15,0.1,0.5477225575051662,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,overlap,0.0,5000,15,0.1,0.5477225575051662,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,overlap_jaccard,0.0,5000,15,0.1,0.5477225575051662,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.0,5000,15,0.2,1.0954451150103324,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.0,5000,15,0.2,1.0954451150103324,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,overlap,0.0,5000,15,0.2,1.0954451150103324,5.477225575051661,15,15,1.0
zdt1_interval,lu,cw,finding,overlap_jaccard,0.0,5000,15,0.2,1.0954451150103324,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,coverage_a_in_b,0.0,5000,15,0.0,0.0,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,coverage_b_in_a,0.0,5000,15,0.0,0.0,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,overlap,0.0,5000,15,0.0,0.0,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,overlap_jaccard,0.0,5000,15,0.0,0.0,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,coverage_a_in_b,0.0,5000,15,0.01,0.05477225575051661,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,coverage_b_in_a,0.0,5000,15,0.01,0.05477225575051661,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,overlap,0.0,5000,15,0.01,0.05477225575051661,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,overlap_jaccard,0.0,5000,15,0.01,0.05477225575051661,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,coverage_a_in_b,0.0,5000,15,0.02,0.10954451150103323,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,coverage_b_in_a,0.0,5000,15,0.02,0.10954451150103323,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,overlap,0.0,5000,15,0.02,0.10954451150103323,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,overlap_jaccard,0.0,5000,15,0.02,0.10954451150103323,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,coverage_a_in_b,0.0,5000,15,0.05,0.2738612787525831,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,coverage_b_in_a,0.0,5000,15,0.05,0.2738612787525831,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,overlap,0.0,5000,15,0.05,0.2738612787525831,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,overlap_jaccard,0.0,5000,15,0.05,0.2738612787525831,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,coverage_a_in_b,0.0,5000,15,0.1,0.5477225575051662,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,coverage_b_in_a,0.0,5000,15,0.1,0.5477225575051662,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,overlap,0.0,5000,15,0.1,0.5477225575051662,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,overlap_jaccard,0.0,5000,15,0.1,0.5477225575051662,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,coverage_a_in_b,0.0,5000,15,0.2,1.0954451150103324,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,coverage_b_in_a,0.0,5000,15,0.2,1.0954451150103324,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,overlap,0.0,5000,15,0.2,1.0954451150103324,5.477225575051661,15,15,1.0
zdt1_interval,ls,cw,check,overlap_jaccard,0.0,5000,15,0.2,1.0954451150103324,5.477225575051661,15,15,1.0
zdt1_interval,lu,ls,check,coverage_a_in_b,0.05,5000,11,0.0,0.0,5.477225575051661,26,304,1.0
zdt1_interval,lu,ls,check,coverage_b_in_a,0.05,5000,11,0.0,0.0,5.477225575051661,26,304,0.08552631578947369
zdt1_interval,lu,ls,check,overlap,0.05,5000,11,0.0,0.0,5.477225575051661,26,304,0.15757575757575756
zdt1_interval,lu,ls,check,overlap_jaccard,0.05,5000,11,0.0,0.0,5.477225575051661,26,304,0.08552631578947367
zdt1_interval,lu,ls,check,coverage_a_in_b,0.05,5000,11,0.01,0.05477225575051661,5.477225575051661,26,304,1.0
zdt1_interval,lu,ls,check,coverage_b_in_a,0.05,5000,11,0.01,0.05477225575051661,5.477225575051661,26,304,0.08552631578947369
zdt1_interval,lu,ls,check,overlap,0.05,5000,11,0.01,0.05477225575051661,5.477225575051661,26,304,0.15757575757575756
zdt1_interval,lu,ls,check,overlap_jaccard,0.05,5000,11,0.01,0.05477225575051661,5.477225575051661,26,304,0.08552631578947367
zdt1_interval,lu,ls,check,coverage_a_in_b,0.05,5000,11,0.02,0.10954451150103323,5.477225575051661,26,304,1.0
zdt1_interval,lu,ls,check,coverage_b_in_a,0.05,5000,11,0.02,0.10954451150103323,5.477225575051661,26,304,0.08552631578947369
zdt1_interval,lu,ls,check,overlap,0.05,5000,11,0.02,0.10954451150103323,5.477225575051661,26,304,0.15757575757575756
zdt1_interval,lu,ls,check,overlap_jaccard,0.05,5000,11,0.02,0.10954451150103323,5.477225575051661,26,304,0.08552631578947367
zdt1_interval,lu,ls,check,coverage_a_in_b,0.05,5000,11,0.05,0.2738612787525831,5.477225575051661,26,304,1.0
zdt1_interval,lu,ls,check,coverage_b_in_a,0.05,5000,11,0.05,0.2738612787525831,5.477225575051661,26,304,0.08552631578947369
zdt1_interval,lu,ls,check,overlap,0.05,5000,11,0.05,0.2738612787525831,5.477225575051661,26,304,0.15757575757575756
zdt1_interval,lu,ls,check,overlap_jaccard,0.05,5000,11,0.05,0.2738612787525831,5.477225575051661,26,304,0.08552631578947367
zdt1_interval,lu,ls,check,coverage_a_in_b,0.05,5000,11,0.1,0.5477225575051662,5.477225575051661,26,304,1.0
zdt1_interval,lu,ls,check,coverage_b_in_a,0.05,5000,11,0.1,0.5477225575051662,5.477225575051661,26,304,0.08552631578947369
zdt1_interval,lu,ls,check,overlap,0.05,5000,11,0.1,0.5477225575051662,5.477225575051661,26,304,0.15757575757575756
zdt1_interval,lu,ls,check,overlap_jaccard,0.05,5000,11,0.1,0.5477225575051662,5.477225575051661,26,304,0.08552631578947367
zdt1_interval,lu,ls,check,coverage_a_in_b,0.05,5000,11,0.2,1.0954451150103324,5.477225575051661,26,304,1.0
zdt1_interval,lu,ls,check,coverage_b_in_a,0.05,5000,11,0.2,1.0954451150103324,5.477225575051661,26,304,0.08552631578947369
zdt1_interval,lu,ls,check,overlap,0.05,5000,11,0.2,1.0954451150103324,5.477225575051661,26,304,0.15757575757575756
zdt1_interval,lu,ls,check,overlap_jaccard,0.05,5000,11,0.2,1.0954451150103324,5.477225575051661,26,304,0.08552631578947367
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.05,5000,11,0.0,0.0,5.477225575051661,26,287,0.7307692307692307
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.05,5000,11,0.0,0.0,5.477225575051661,26,287,0.06620209059233449
zdt1_interval,lu,cw,finding,overlap,0.05,5000,11,0.0,0.0,5.477225575051661,26,287,0.12140575079872204
zdt1_interval,lu,cw,finding,overlap_jaccard,0.05,5000,11,0.0,0.0,5.477225575051661,26,287,0.06462585034013606
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.05,5000,11,0.01,0.05477225575051661,5.477225575051661,26,287,0.7307692307692307
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.05,5000,11,0.01,0.05477225575051661,5.477225575051661,26,287,0.06620209059233449
zdt1_interval,lu,cw,finding,overlap,0.05,5000,11,0.01,0.05477225575051661,5.477225575051661,26,287,0.12140575079872204
zdt1_interval,lu,cw,finding,overlap_jaccard,0.05,5000,11,0.01,0.05477225575051661,5.477225575051661,26,287,0.06462585034013606
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.05,5000,11,0.02,0.10954451150103323,5.477225575051661,26,287,0.7307692307692307
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.05,5000,11,0.02,0.10954451150103323,5.477225575051661,26,287,0.06620209059233449
zdt1_interval,lu,cw,finding,overlap,0.05,5000,11,0.02,0.10954451150103323,5.477225575051661,26,287,0.12140575079872204
zdt1_interval,lu,cw,finding,overlap_jaccard,0.05,5000,11,0.02,0.10954451150103323,5.477225575051661,26,287,0.06462585034013606
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.05,5000,11,0.05,0.2738612787525831,5.477225575051661,26,287,0.7307692307692307
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.05,5000,11,0.05,0.2738612787525831,5.477225575051661,26,287,0.06620209059233449
zdt1_interval,lu,cw,finding,overlap,0.05,5000,11,0.05,0.2738612787525831,5.477225575051661,26,287,0.12140575079872204
zdt1_interval,lu,cw,finding,overlap_jaccard,0.05,5000,11,0.05,0.2738612787525831,5.477225575051661,26,287,0.06462585034013606
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.05,5000,11,0.1,0.5477225575051662,5.477225575051661,26,287,0.7307692307692307
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.05,5000,11,0.1,0.5477225575051662,5.477225575051661,26,287,0.06620209059233449
zdt1_interval,lu,cw,finding,overlap,0.05,5000,11,0.1,0.5477225575051662,5.477225575051661,26,287,0.12140575079872204
zdt1_interval,lu,cw,finding,overlap_jaccard,0.05,5000,11,0.1,0.5477225575051662,5.477225575051661,26,287,0.06462585034013606
zdt1_interval,lu,cw,finding,coverage_a_in_b,0.05,5000,11,0.2,1.0954451150103324,5.477225575051661,26,287,0.7307692307692307
zdt1_interval,lu,cw,finding,coverage_b_in_a,0.05,5000,11,0.2,1.0954451150103324,5.477225575051661,26,287,0.06620209059233449
zdt1_interval,lu,cw,finding,overlap,0.05,5000,11,0.2,1.0954451150103324,5.477225575051661,26,287,0.12140575079872204
zdt1_interval,lu,cw,finding,overlap_jaccard,0.05,5000,11,0.2,1.0954451150103324,5.477225575051661,26,287,0.06462585034013606
zdt1_interval,ls,cw,check,coverage_a_in_b,0.05,5000,11,0.0,0.0,5.477225575051661,304,287,0.944078947368421
zdt1_interval,ls,cw,check,coverage_b_in_a,0.05,5000,11,0.0,0.0,5.477225575051661,304,287,1.0
zdt1_interval,ls,cw,check,overlap,0.05,5000,11,0.0,0.0,5.477225575051661,304,287,0.9712351945854484
zdt1_interval,ls,cw,check,overlap_jaccard,0.05,5000,11,0.0,0.0,5.477225575051661,304,287,0.9440789473684209
zdt1_interval,ls,cw,check,coverage_a_in_b,0.05,5000,11,0.01,0.05477225575051661,5.477225575051661,304,287,0.944078947368421
zdt1_interval,ls,cw,check,coverage_b_in_a,0.05,5000,11,0.01,0.05477225575051661,5.477225575051661,304,287,1.0
zdt1_interval,ls,cw,check,overlap,0.05,5000,11,0.01,0.05477225575051661,5.477225575051661,304,287,0.9712351945854484
zdt1_interval,ls,cw,check,overlap_jaccard,0.05,5000,11,0.01,0.05477225575051661,5.477225575051661,304,287,0.9440789473684209
zdt1_interval,ls,cw,check,coverage_a_in_b,0.05,5000,11,0.02,0.10954451150103323,5.477225575051661,304,287,0.944078947368421
zdt1_interval,ls,cw,check,coverage_b_in_a,0.05,5000,11,0.02,0.10954451150103323,5.477225575051661,304,287,1.0
zdt1_interval,ls,cw,check,overlap,0.05,5000,11,0.02,0.10954451150103323,5.477225575051661,304,287,0.9712351945854484
zdt1_interval,ls,cw,check,overlap_jaccard,0.05,5000,11,0.02,0.10954451150103323,5.477225575051661,304,287,0.9440789473684209
zdt1_interval,ls,cw,check,coverage_a_in_b,0.05,5000,11,0.05,0.2738612787525831,5.477225575051661,304,287,0.944078947368421
zdt1_interval,ls,cw,check,coverage_b_in_a,0.05,5000,11,0.05,0.2738612787525831,5.477225575051661,304,287,1.0
zdt1_interval,ls,cw,check,overlap,0.05,5000,11,0.05,0.2738612787525831,5.477225575051661,304,287,0.9712351945854484
zdt1_interval,ls,cw,check,overlap_jaccard,0.05,5000,11,0.05,0.2738612787525831,5.477225575051661,304,287,0.9440789473684209
zdt1_interval,ls,cw,check,coverage_a_in_b,0.05,5000,11,0.1,0.5477225575051662,5.477225575051661,304,287,0.944078947368421
zdt1_interval,ls,cw,check,coverage_b_in_a,0.05,5000,11,0.1,0.5477225575051662,5.477225575051661,304,287,1.0
zdt1_interval,ls,cw,check,overlap,0.05,5000,11,0.1,0.5477225575051662,5.477225575051661,304,287,0.9712351945854484
zdt1_interval,ls,cw,check,overlap_jaccard,0.05,5000,11,0.1,0.5477225575051662,5.477225575051661,304,287,0.9440789473684209
zdt1_interval,ls,cw,check,coverage_a_in_b,0.05,5000,11,0.2,1.0954451150103324,5.477225575051661,304,287,0.944078947368421
zdt1_interval,ls,cw,check,coverage_b_in_a,0.05,5000,11,0.2,1.0954451150103324,5.477225575051661,304,287,1.0
